15-10-7 下午5:03
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	85058	357064	3054896	3357899	  1870	
剩余：  	71733	336795	2932578	3228446	  1870	
独特：  	42566	270601	2279580	2537858	  1870	
剩余独特：	42381	268752	2268528	2525019	  1870	


单文件统计：

文件名                                                       	 总片段	剩余片段	独特片段	剩余独特片段	 总计词汇	 剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
2ddrawing/Alpha.html                                      	  30	  13	  29	    12	  111	   19	  110	    18	     685	      210	      676	        201	     765	      215	      756	        206	
2ddrawing/AlphaBlend.html                                 	  28	  14	  15	    10	   91	   36	   67	    31	     594	      265	      418	        214	     657	      285	      471	        234	
2ddrawing/backcolor.html                                  	  32	  24	  19	    18	   90	   79	   74	    73	     712	      648	      589	        584	     772	      705	      646	        641	
2ddrawing/Blue.html                                       	  31	  15	  10	     5	  104	   22	   63	    11	     670	      238	      396	        133	     743	      244	      450	        139	
2ddrawing/box.html                                        	  51	  34	  33	    24	  198	  114	  175	   102	    1763	     1268	     1558	       1127	    1930	     1364	     1722	       1223	
2ddrawing/boxedgradient.html                              	  52	  36	  33	    27	  204	  133	  179	   121	    2084	     1601	     1882	       1477	    2291	     1750	     2083	       1623	
2ddrawing/circle.html                                     	  52	  33	  21	    15	  196	  105	  115	    74	    1843	     1300	     1154	        916	    2002	     1383	     1265	        988	
2ddrawing/circulargradient.html                           	  53	  37	  11	     8	  192	  117	   69	    46	    2068	     1541	      719	        549	    2261	     1672	      801	        607	
2ddrawing/ClipOutput.html                                 	  51	  32	  25	    16	  246	  111	  201	    79	    2090	     1299	     1535	        822	    2337	     1426	     1761	        931	
2ddrawing/conicalgradient.html                            	  54	  36	  13	     8	  213	  104	   91	    34	    2216	     1489	      868	        498	    2434	     1613	      975	        549	
2ddrawing/customfiltercallback.html                       	  66	  45	  39	    28	  354	  150	  325	   134	    3150	     2001	     2816	       1745	    3474	     2141	     3137	       1885	
2ddrawing/customgradient.html                             	  73	  56	  33	    28	  349	  236	  257	   209	    3154	     2522	     2356	       2025	    3483	     2751	     2630	       2252	
2ddrawing/drawalphaimage.html                             	  42	  28	  21	    18	  190	  143	  154	   133	    1247	      923	      950	        797	    1397	     1036	     1084	        909	
2ddrawing/drawimage.html                                  	  37	  25	  12	    12	  162	  129	   88	    88	    1104	      911	      608	        608	    1230	     1016	      688	        688	
2ddrawing/drawingbuffer.html                              	  40	  22	  19	    12	  173	   59	  152	    52	    1367	      727	     1139	        584	    1505	      765	     1274	        622	
2ddrawing/drawingbufferpitch.html                         	  23	  10	   9	     5	   70	   12	   53	     7	     638	      265	      463	        161	     690	      268	      512	        164	
2ddrawing/drawingbufferpixelformat.html                   	  42	  16	  26	    11	  169	   28	  143	    23	    1651	      658	     1422	        567	    1799	      672	     1560	        581	
2ddrawing/drawingfont.html                                	  26	  13	  12	     7	   75	   16	   59	    11	     595	      228	      447	        144	     646	      229	      495	        145	
2ddrawing/drawingmode.html                                	  96	  72	  61	    46	  617	  452	  580	   427	    4131	     3212	     3691	       2843	    4629	     3563	     4186	       3194	
2ddrawing/drawrotatedtext.html                            	  47	  36	  21	    21	  207	  171	  125	   125	    1760	     1555	     1061	       1061	    1937	     1707	     1184	       1184	
2ddrawing/drawtext.html                                   	  56	  45	  23	    23	  280	  244	  201	   201	    2360	     2153	     1694	       1694	    2602	     2370	     1890	       1890	
2ddrawing/ellipse.html                                    	  52	  39	  14	    14	  209	  159	  100	   100	    1911	     1606	      861	        861	    2080	     1738	      959	        959	
2ddrawing/ellipticalgradient.html                         	  53	  39	  10	    10	  200	  138	   66	    66	    2116	     1699	      699	        699	    2315	     1851	      777	        777	
2ddrawing/fillarea.html                                   	  46	  34	  21	    21	  257	  220	  204	   204	    1921	     1709	     1504	       1504	    2159	     1922	     1715	       1715	
2ddrawing/frontcolor.html                                 	  32	  24	   7	     7	   89	   78	   32	    32	     711	      647	      295	        295	     770	      703	      323	        323	
2ddrawing/GetOriginX.html                                 	  21	  13	   8	     8	   47	   36	   31	    31	     423	      359	      291	        291	     454	      387	      319	        319	
2ddrawing/GetOriginY.html                                 	  21	  13	   8	     8	   47	   36	   31	    31	     435	      371	      303	        303	     466	      399	      331	        331	
2ddrawing/grabdrawingimage.html                           	  34	  26	  18	    18	  174	  163	  147	   147	    1082	     1016	      867	        867	    1224	     1155	      997	        997	
2ddrawing/gradientcolor.html                              	  75	  65	  32	    32	  285	  272	  207	   207	    2899	     2821	     1964	       1964	    3187	     3106	     2216	       2216	
2ddrawing/Green.html                                      	  31	  18	   7	     7	  104	   41	   29	    29	     683	      385	      268	        268	     756	      411	      294	        294	
2ddrawing/index.html                                      	 125	 116	  70	    64	  199	  130	  146	    81	    2856	     2514	     2041	       1720	    2934	     2531	     2118	       1737	
2ddrawing/line.html                                       	  53	  41	  15	    15	  230	  193	  127	   127	    1907	     1695	      926	        926	    2099	     1862	     1053	       1053	
2ddrawing/lineargradient.html                             	  53	  40	  12	    12	  203	  151	   82	    82	    2092	     1735	      734	        734	    2296	     1901	      828	        828	
2ddrawing/linexy.html                                     	  52	  40	  16	    16	  219	  182	  113	   113	    1939	     1727	     1075	       1075	    2113	     1876	     1181	       1181	
2ddrawing/outputdepth.html                                	  20	  12	   7	     7	   42	   31	   26	    26	     404	      340	      261	        261	     431	      364	      285	        285	
2ddrawing/outputheight.html                               	  20	  12	   7	     7	   42	   31	   26	    26	     399	      335	      261	        261	     426	      359	      285	        285	
2ddrawing/outputwidth.html                                	  20	  12	   7	     7	   42	   31	   26	    26	     384	      320	      251	        251	     411	      344	      275	        275	
2ddrawing/plot.html                                       	  50	  39	  15	    15	  204	  168	  115	   115	    1791	     1586	      883	        883	    1963	     1733	     1002	       1002	
2ddrawing/point.html                                      	  40	  32	  11	    11	  155	  144	   90	    90	    1040	      974	      536	        536	    1161	     1092	      618	        618	
2ddrawing/Red.html                                        	  31	  18	   7	     7	  104	   41	   29	    29	     689	      391	      266	        266	     762	      417	      292	        292	
2ddrawing/resetgradientcolors.html                        	  38	  26	   7	     7	  110	   70	   51	    51	    1148	      871	      561	        561	    1223	      919	      609	        609	
2ddrawing/RGB.html                                        	  35	  27	  12	    12	  119	  108	   90	    90	     817	      751	      535	        535	     904	      835	      616	        616	
2ddrawing/RGBA.html                                       	  37	  28	   9	     9	  146	  120	   76	    76	     915	      788	      522	        522	    1025	      881	      591	        591	
2ddrawing/roundbox.html                                   	  53	  39	  18	    18	  215	  153	  107	   107	    1880	     1523	     1001	       1001	    2052	     1647	     1104	       1104	
2ddrawing/SetOrigin.html                                  	  47	  37	  24	    24	  232	  219	  195	   195	    1993	     1915	     1588	       1588	    2216	     2135	     1797	       1797	
2ddrawing/startdrawing.html                               	  46	  38	  24	    24	  208	  197	  180	   180	    1651	     1585	     1336	       1336	    1817	     1748	     1499	       1499	
2ddrawing/stopdrawing.html                                	  26	  16	   9	     9	   70	   57	   50	    50	     671	      595	      492	        492	     726	      647	      544	        544	
2ddrawing/textheight.html                                 	  21	  14	   8	     8	   55	   45	   39	    39	     437	      378	      303	        303	     475	      413	      338	        338	
2ddrawing/textwidth.html                                  	  21	  14	   7	     7	   55	   45	   35	    35	     437	      378	      283	        283	     475	      413	      315	        315	
2ddrawing/UnclipOutput.html                               	  27	  17	   8	     8	   71	   58	   47	    47	     652	      576	      423	        423	     696	      617	      464	        464	
array/arraysize.html                                      	  35	  26	  24	    24	  137	  125	  123	   123	    1200	     1127	     1090	       1090	    1302	     1226	     1189	       1189	
array/copyarray.html                                      	  36	  28	  27	    27	  152	  141	  140	   140	    1311	     1245	     1235	       1235	    1427	     1358	     1348	       1348	
array/freearray.html                                      	  22	  14	  11	    11	   52	   41	   38	    38	     406	      342	      311	        311	     434	      367	      336	        336	
array/index.html                                          	  34	  29	  19	    19	  117	  109	  100	   100	     869	      819	      697	        697	     950	      896	      773	        773	
audiocd/audiocdlength.html                                	  19	  12	  11	    11	   40	   30	   29	    29	     369	      308	      298	        298	     393	      329	      319	        319	
audiocd/audiocdname.html                                  	  20	  12	  10	    10	   61	   50	   48	    48	     467	      403	      378	        378	     513	      446	      421	        421	
audiocd/audiocdstatus.html                                	  23	  15	   9	     9	   75	   64	   59	    59	     533	      469	      388	        388	     594	      527	      446	        446	
audiocd/audiocdtracklength.html                           	  22	  15	  11	    11	   52	   42	   34	    34	     493	      434	      365	        365	     527	      465	      392	        392	
audiocd/audiocdtracks.html                                	  19	  11	   7	     7	   42	   31	   27	    27	     370	      306	      245	        245	     398	      331	      270	        270	
audiocd/audiocdtrackseconds.html                          	  21	  13	   7	     7	   52	   41	   35	    35	     529	      465	      358	        358	     565	      498	      391	        391	
audiocd/ejectaudiocd.html                                 	  21	  14	  10	    10	   50	   40	   36	    36	     382	      321	      266	        266	     415	      351	      296	        296	
audiocd/index.html                                        	  39	  34	  23	    23	   84	   76	   63	    63	     961	      911	      707	        707	    1006	      952	      747	        747	
